,Unnamed: 0,url,domain
0,0,https://www--wellsfargo--com--x849329d48d6c.wsipv6.com/,www--wellsfargo--com--x849329d48d6c.wsipv6.com
1,1,http://3659002.vip/,3659002.vip
2,4,http://47.103.128.80:8085/din.php,47.103.128.80
3,12,https://lcloud-finddevice.live/,lcloud-finddevice.live
4,13,https://app-uniswap.org-pools-nft-usdcxuni.site/,app-uniswap.org-pools-nft-usdcxuni.site
5,14,https://ggddy210.godaddysites.com/,ggddy210.godaddysites.com
6,15,https://www.unicreditpst.r3sellerszz.buzz/,www.unicreditpst.r3sellerszz.buzz
7,16,https://facebooklogincl.blogspot.com/?m=1,facebooklogincl.blogspot.com
9,18,https://dominionovo23.com/,dominionovo23.com
10,19,http://www.365666n.cc/,www.365666n.cc
11,20,http://365089.com/,365089.com
13,22,http://confirm.address-match.workers.dev/,confirm.address-match.workers.dev
14,23,http://labanque-postale-9e516.web.app/,labanque-postale-9e516.web.app
15,24,http://motionlessmaturechief.clavedinamic10.repl.co/,motionlessmaturechief.clavedinamic10.repl.co
16,25,http://104.14.132.210/,104.14.132.210
17,26,https://outlooksoffices.weebly.com/,outlooksoffices.weebly.com
18,28,http://u1929948.cp.regruhosting.ru/,u1929948.cp.regruhosting.ru
19,29,http://bafybeihtrei2lm4ud5ewqd5wbpw6ow42cb2svbho3ry2p4qm3dvr7bjnwy.ipfs.dweb.link/user3.html?vghbjgkfhvfjdkdfuvyfiujnbtmrjkj3eruyfr89ubrnmewjduvy89euihjjrkdiuycdghbjieufyghebnjewducyhbhucdywghbnjfviuyeghbejfiuyvg=,bafybeihtrei2lm4ud5ewqd5wbpw6ow42cb2svbho3ry2p4qm3dvr7bjnwy.ipfs.dweb.link
20,35,http://appsn21.store.global.prod.fastly.net/all/apps/facebook/,appsn21.store.global.prod.fastly.net
21,38,https://login-dkb-auth645189206845654521685485success-redirecturl.sauerland-bestattungen.com/dkb/clients/login.php?verification#_,login-dkb-auth645189206845654521685485success-redirecturl.sauerland-bestattungen.com
22,39,https://bafybeiavx4lrwh74jm7brfo6g7scpagmtaqu5qsrm4yjmr7clyrl4g5h5e.ipfs.dweb.link/UPDATEDonetwo.html,bafybeiavx4lrwh74jm7brfo6g7scpagmtaqu5qsrm4yjmr7clyrl4g5h5e.ipfs.dweb.link
23,56,https://envistaforensic.org/folks/capital1/login/card.php,envistaforensic.org
24,58,https://ibank.ziraatbintl.com/,ibank.ziraatbintl.com
25,59,https://sigmacert.com.tr/,sigmacert.com.tr
26,60,https://ggdudu.webwave.dev/,ggdudu.webwave.dev
27,61,http://idlevirtualtelecommunications.pastermil.repl.co/,idlevirtualtelecommunications.pastermil.repl.co
28,62,http://xlr63308icvne.biz.id/,xlr63308icvne.biz.id
