,phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,domain,date_acquired,status
333,8012523,https://buff163.co/?utm_campaign=1674282181655,http://www.phishtank.com/phish_detail.php?phish_id=8012523,2023-01-21T06:24:25+00:00,yes,2023-01-21T15:32:01+00:00,yes,Steam,buff163.co,,
4312,8001586,https://cutt.ly/SicurezzaAllianz,http://www.phishtank.com/phish_detail.php?phish_id=8001586,2023-01-09T16:59:07+00:00,yes,2023-01-09T17:10:38+00:00,yes,Other,cutt.ly,,
194,8013370,http://emiratesair-11.wikidot.com,http://www.phishtank.com/phish_detail.php?phish_id=8013370,2023-01-22T17:49:34+00:00,yes,2023-01-22T17:52:18+00:00,yes,Other,emiratesair-11.wikidot.com,2023-01,phishing
212,8013344,http://cakeswap.network,http://www.phishtank.com/phish_detail.php?phish_id=8013344,2023-01-22T16:32:06+00:00,yes,2023-01-22T16:42:28+00:00,yes,Other,cakeswap.network,2023-01,phishing
455,8012865,https://www.americancontractingenterprisesinc.com/wp-admin/nob/hop/ws2wzsq1/update_init.php,http://www.phishtank.com/phish_detail.php?phish_id=8012865,2023-01-21T23:08:16+00:00,yes,2023-01-21T23:12:02+00:00,yes,Other,www.americancontractingenterprisesinc.com,2023-01,phishing
717,8012163,https://apikqq.sa.com/ap/index.html,http://www.phishtank.com/phish_detail.php?phish_id=8012163,2023-01-20T19:29:25+00:00,yes,2023-01-20T19:42:07+00:00,yes,Other,apikqq.sa.com,2023-01,phishing
764,8012087,https://vdashdhdhdlch-s-school.thinkific.com/,http://www.phishtank.com/phish_detail.php?phish_id=8012087,2023-01-20T19:16:17+00:00,yes,2023-01-21T00:07:10+00:00,yes,Other,vdashdhdhdlch-s-school.thinkific.com,2023-01,phishing
799,8011881,https://infallible-ganguly.62-210-130-161.plesk.page/io/,http://www.phishtank.com/phish_detail.php?phish_id=8011881,2023-01-20T15:56:47+00:00,yes,2023-01-21T00:07:10+00:00,yes,Other,infallible-ganguly.62-210-130-161.plesk.page,2023-01,phishing
812,8011837,https://milha0fficial.com/,http://www.phishtank.com/phish_detail.php?phish_id=8011837,2023-01-20T15:12:15+00:00,yes,2023-01-20T17:12:10+00:00,yes,Other,milha0fficial.com,2023-01,phishing
856,8011672,http://seediify.com,http://www.phishtank.com/phish_detail.php?phish_id=8011672,2023-01-20T12:02:53+00:00,yes,2023-01-20T12:12:01+00:00,yes,Other,seediify.com,2023-01,phishing
859,8011668,http://fixdappsconnect.com,http://www.phishtank.com/phish_detail.php?phish_id=8011668,2023-01-20T11:59:24+00:00,yes,2023-01-20T12:02:49+00:00,yes,Other,fixdappsconnect.com,2023-01,phishing
864,8011660,http://fixxmanuuallprotocol.com,http://www.phishtank.com/phish_detail.php?phish_id=8011660,2023-01-20T11:46:40+00:00,yes,2023-01-20T11:52:06+00:00,yes,Other,fixxmanuuallprotocol.com,2023-01,phishing
944,8011388,https://uznxnmxxal.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=8011388,2023-01-20T04:06:20+00:00,yes,2023-01-20T04:12:17+00:00,yes,Other,uznxnmxxal.duckdns.org,2023-01,phishing
946,8011382,https://qzqdjfcjww.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=8011382,2023-01-20T03:51:54+00:00,yes,2023-01-20T04:02:44+00:00,yes,Other,qzqdjfcjww.duckdns.org,2023-01,phishing
973,8011301,https://olhonamelhor.fun/,http://www.phishtank.com/phish_detail.php?phish_id=8011301,2023-01-20T00:19:46+00:00,yes,2023-01-20T04:12:17+00:00,yes,Other,olhonamelhor.fun,2023-01,phishing
974,8011297,http://openseavalidate.site,http://www.phishtank.com/phish_detail.php?phish_id=8011297,2023-01-20T00:15:26+00:00,yes,2023-01-20T00:21:59+00:00,yes,Other,openseavalidate.site,2023-01,phishing
1253,8010580,https://kybr-swap.com/?utm_term=buff%20csgo&amp;utm_campaign=Search-1&amp;utm_source=adwords&amp;utm_medium=ppc&amp;hsa_acc=5983340548&amp;hsa_cam=19584422287&amp;hsa_grp=145725265376&amp;hsa_ad=645283791525&amp;hsa_src=g&amp;hsa_tgt=kwd-552996231262&amp;hsa_kw=buff%20csgo&amp;hsa_mt=b&amp;hsa_net=adwords&amp;hsa_ver=3&amp;gclid=EAIaIQobChMIxanF1uLT_AIVlOx3Ch32xQLcEAMYASAAEgKO4fD_BwE,http://www.phishtank.com/phish_detail.php?phish_id=8010580,2023-01-19T13:49:17+00:00,yes,2023-01-19T20:32:28+00:00,yes,Steam,kybr-swap.com,2023-01,phishing
1342,8010220,https://fhhxvyvquf.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=8010220,2023-01-19T05:45:11+00:00,yes,2023-01-19T05:52:08+00:00,yes,Other,fhhxvyvquf.duckdns.org,2023-01,phishing
1353,8010191,http://csllbehring.com,http://www.phishtank.com/phish_detail.php?phish_id=8010191,2023-01-19T03:49:07+00:00,yes,2023-01-19T03:52:00+00:00,yes,Other,csllbehring.com,2023-01,phishing
1364,8010162,https://bitsotrade.net/,http://www.phishtank.com/phish_detail.php?phish_id=8010162,2023-01-19T01:52:27+00:00,yes,2023-01-19T06:02:48+00:00,yes,Other,bitsotrade.net,2023-01,phishing
1368,8010152,https://olhonamedida.fun/,http://www.phishtank.com/phish_detail.php?phish_id=8010152,2023-01-19T01:39:49+00:00,yes,2023-01-19T06:02:48+00:00,yes,Other,olhonamedida.fun,2023-01,phishing
1373,8010135,http://ap-stakeaxieinfinitty.tech,http://www.phishtank.com/phish_detail.php?phish_id=8010135,2023-01-19T01:28:16+00:00,yes,2023-01-19T01:32:16+00:00,yes,Other,ap-stakeaxieinfinitty.tech,2023-01,phishing
1376,8010120,https://magalu.amedidacorreta.fun/,http://www.phishtank.com/phish_detail.php?phish_id=8010120,2023-01-19T00:33:24+00:00,yes,2023-01-19T06:11:57+00:00,yes,Other,magalu.amedidacorreta.fun,2023-01,phishing
1448,8009843,https://csawq-f3932.firebaseapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=8009843,2023-01-18T21:20:12+00:00,yes,2023-01-18T21:42:16+00:00,yes,Other,csawq-f3932.firebaseapp.com,2023-01,phishing
1612,8009502,https://dev-latamairllines.pantheonsite.io/,http://www.phishtank.com/phish_detail.php?phish_id=8009502,2023-01-18T19:24:09+00:00,yes,2023-01-19T10:32:18+00:00,yes,Other,dev-latamairllines.pantheonsite.io,2023-01,phishing
1613,8009500,https://yhoomailsyfe.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8009500,2023-01-18T19:21:10+00:00,yes,2023-01-18T19:32:32+00:00,yes,Other,yhoomailsyfe.webflow.io,2023-01,phishing
1649,8009308,http://wall-of-contribution.com,http://www.phishtank.com/phish_detail.php?phish_id=8009308,2023-01-18T15:47:17+00:00,yes,2023-01-18T15:52:16+00:00,yes,Other,wall-of-contribution.com,2023-01,phishing
1705,8009087,https://nabinksingh.com.np/IN/server.html,http://www.phishtank.com/phish_detail.php?phish_id=8009087,2023-01-18T09:49:36+00:00,yes,2023-01-18T09:52:09+00:00,yes,Microsoft,nabinksingh.com.np,2023-01,phishing
1752,8008854,http://solana2023.tech,http://www.phishtank.com/phish_detail.php?phish_id=8008854,2023-01-18T01:05:13+00:00,yes,2023-01-18T01:12:01+00:00,yes,Other,solana2023.tech,2023-01,phishing
1755,8008842,http://mestamask.tech,http://www.phishtank.com/phish_detail.php?phish_id=8008842,2023-01-18T00:45:15+00:00,yes,2023-01-18T00:51:49+00:00,yes,Other,mestamask.tech,2023-01,phishing
1793,8008719,http://optumgifts.gr8times.co.in,http://www.phishtank.com/phish_detail.php?phish_id=8008719,2023-01-17T20:55:07+00:00,yes,2023-01-17T21:02:31+00:00,yes,Other,optumgifts.gr8times.co.in,2023-01,phishing
2126,8007767,https://lps.sunfloweradvtsng.com/ugrs_7189_1_es_gt_nfl/?coc=ld_gt_ytbrf1105_1876_bi&amp;target=%7Btarget%7D&amp;utm_campaign=%7Bcampaignid%7D&amp;utm_adgroup=%7Badgroupid%7D&amp;keyword=%7Bkeyword%7D&amp;placement=%7Bplacement%7D&amp;network=%7Bnetwork%7D&amp;curr_city=%7Bloc_physical_ms%7D&amp;device=%7Bdevice%7D&amp;creative=%7Bcreative%7D&amp;device_model=%7Bdevicemodel%7D&amp;ad=npl1&amp;gclid=Cj0KCQiAiJSeBhCCARIsAHnAzT_sdoIJY5GvfcmyErhiI-QDO4aB1DfthJe6pkFVFSiUzZSVuy8QAC0aAhZqEALw_wcB,http://www.phishtank.com/phish_detail.php?phish_id=8007767,2023-01-16T22:21:35+00:00,yes,2023-01-16T22:32:04+00:00,yes,Other,lps.sunfloweradvtsng.com,2023-01,phishing
2306,8007316,https://securebtbusiness-c90af4.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8007316,2023-01-16T14:55:40+00:00,yes,2023-01-16T15:02:32+00:00,yes,Other,securebtbusiness-c90af4.webflow.io,2023-01,phishing
2760,8006057,http://ionos-webmail-login.com/,http://www.phishtank.com/phish_detail.php?phish_id=8006057,2023-01-14T15:41:25+00:00,yes,2023-01-14T15:51:41+00:00,yes,Other,ionos-webmail-login.com,2023-01,phishing
3078,8005099,https://mmeatamammssks.azurewebsites.net/,http://www.phishtank.com/phish_detail.php?phish_id=8005099,2023-01-13T06:01:28+00:00,yes,2023-01-13T06:11:56+00:00,yes,Other,mmeatamammssks.azurewebsites.net,2023-01,phishing
3176,8004363,http://upnews18.com,http://www.phishtank.com/phish_detail.php?phish_id=8004363,2023-01-12T12:41:36+00:00,yes,2023-01-12T12:52:05+00:00,yes,Other,upnews18.com,2023-01,phishing
3329,8003072,https://zerion.web3wlmint.com/,http://www.phishtank.com/phish_detail.php?phish_id=8003072,2023-01-11T03:12:56+00:00,yes,2023-01-11T03:22:33+00:00,yes,Other,zerion.web3wlmint.com,2023-01,phishing
3473,8001587,https://mirayogashala.com/,http://www.phishtank.com/phish_detail.php?phish_id=8001587,2023-01-09T16:59:07+00:00,yes,2023-01-09T17:10:38+00:00,yes,Other,mirayogashala.com,2023-01,phishing
3495,8001174,http://stonexgroups.com,http://www.phishtank.com/phish_detail.php?phish_id=8001174,2023-01-09T08:59:55+00:00,yes,2023-01-09T09:09:51+00:00,yes,Other,stonexgroups.com,2023-01,phishing
4255,7988663,https://www.bei-galfes.com/wp-content/plugins/awjuegy/includes/wellsfargo.com.asp.aws/wells/pafe_a.php,http://www.phishtank.com/phish_detail.php?phish_id=7988663,2022-12-28T18:36:28+00:00,yes,2022-12-28T18:42:10+00:00,yes,Other,www.bei-galfes.com,2022-12,phishing
4276,7988073,http://thewashington-post.facilidadgozoygloria.com,http://www.phishtank.com/phish_detail.php?phish_id=7988073,2022-12-28T05:11:01+00:00,yes,2022-12-28T05:22:02+00:00,yes,Other,thewashington-post.facilidadgozoygloria.com,2022-12,phishing
4407,7984156,http://emiratesairlinehelpline1.educatorpages.com/,http://www.phishtank.com/phish_detail.php?phish_id=7984156,2022-12-22T12:57:19+00:00,yes,2022-12-22T13:02:39+00:00,yes,Other,emiratesairlinehelpline1.educatorpages.com,2022-12,phishing
4417,7983946,http://thewashington-post.com,http://www.phishtank.com/phish_detail.php?phish_id=7983946,2022-12-22T00:54:59+00:00,yes,2022-12-22T01:02:46+00:00,yes,Other,thewashington-post.com,2022-12,phishing
4797,7974784,http://funeralingenious.cn/atacadaosabrw/tb.php,http://www.phishtank.com/phish_detail.php?phish_id=7974784,2022-12-12T19:18:06+00:00,yes,2022-12-13T06:22:34+00:00,yes,Other,funeralingenious.cn,2022-12,phishing
