url,domain
https://adobeclouddocument.com/ADOBEYAD/ADOBE/ADOBE/,adobeclouddocument
http://peed-there.duckdns.org/,peed-there.duckdns
http://peed-there.duckdns.org/password.html,peed-there.duckdns
http://professional-league.duckdns.org/,professional-league.duckdns
http://professional-league.duckdns.org/password.html,professional-league.duckdns
http://usually-play.duckdns.org/,usually-play.duckdns
http://usually-play.duckdns.org/password.html,usually-play.duckdns
https://www-degelyehuda-org-il.filesusr.com/html/87d61b_fbbccdb931d8874609e6da5e75341242.html,www-degelyehuda-org-il.filesusr
http://steamconmumlty.com/prefiles7414184784168212,steamconmumlty
https://smartweb-clicca.com/,smartweb-clicca
https://bt-update-103112.weeblysite.com/,bt-update-103112.weeblysite
http://ehpslsy.cn/,ehpslsy
https://continuous-immediate-barnacle.glitch.me/http.html#[email%C2%A0protected],continuous-immediate-barnacle.glitch
http://thelp.hiqhlandref.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https://wwwofc.hiqhlandref.com/landingv2&response_type=code%20id_token&scope=openid%20profile%20https://wwwofc.hiqhlandref.com/v2/officehome.all&response_mode=form_post&nonce=638116182017822975.owm5ztg2mwqtntc0yi00mjq1ltk0ndutntrjothkzgnmmgziotk3n2y3zdatotkxmi00odvkltkzymutm2vmzgqzmju4otc2&ui_locales=en-us&mkt=en-us&state=ob63ib_ndpe4c3mbegv8vk5ncvp4qwt0arxaxxu4rtzbhdpe42gqknzuek_cerzppj3joqc3bremkvky4ccb3rykxksr-wzalof7iw85_0go7z8qtgps-ptc5uwxi_pphhdrlwjrnjbhn5w4o3tyshefzon21tbhwi02pq2ovxbff5b-qo6octzavmvamhziqy7if9ftdrtakwl2hby8gdsc1cjgyvewh5gzvd6kbhc7yddnm23ipeo9y7pus93cdnuwcenpycwunnlymssvkw&x-client-sku=id_netstandard2_0&x-client-ver=6.16.0.0&sso_reload=true,thelp.hiqhlandref
http://afccunion.duckdns.org/,afccunion.duckdns
http://emiratesnbd.com.paintechnology.in/?email=3mail@b.c,emiratesnbd.com.paintechnology
http://soundphysician.myftp.biz/,soundphysician.myftp
http://steamconmunitily.ru/proflies/8365502719572936706,steamconmunitily
https://ipfs.io/ipfs/QmXLczUSdc1gjFiw6a4NCdodT2hUjSbYQ4e6PWo4GUh2SJ?filename=1T2YI67O8J5H5G4HY4U6I7O89O75U33H22B2G34H6J788K6JJ4U.html,ipfs
https://sistema-homebw.com/,sistema-homebw
http://sweet-rubin.151-80-79-167.plesk.page/credit-agricole/region/a142dbe2ecf7cad/region.php?lca=,sweet-rubin.151-80-79-167.plesk
https://fleek.ipfs.io/ipfs/bafybeieg6rytg5ajzz66izcgt3nkeuemovezx4ramgrz2wecmygnf2oob4,fleek.ipfs
http://lzmrmzxcbkyblkyap.tech/,lzmrmzxcbkyblkyap
http://newhopemakassar.co.id/pallmall,newhopemakassar.co
https://landiaccess.com/,landiaccess
https://wordpress-938279-3261322.cloudwaysapps.com/en/Dhposte/info.php,wordpress-938279-3261322.cloudwaysapps
https://rvrtual-procesdesblq.com/mua/USER/scis/j6UnVHZsitlYrxStPNFUN4TsSjgEJkN7dlDp6FXSjFxO/3D/no-back-button,rvrtual-procesdesblq
https://s3.amazonaws.com/appforest_uf/f1675949296187x872502220022733000/qind.htm?email=3mail@b.c,s3.amazonaws
https://expertisewebzoque.online/japan-porn-hacker-lwkekernals2ks4reow0-kd3jfs4dfes-pofir3ewpso5dfr-ewpos3kdesd5ewosk-d0fre3psodie-sd0f5epso-dosd3freosf-pdoi5eows-deosd6dof8reosd-fr4edservices3449/002/edg/index.php,expertisewebzoque
https://expertisewebzoque.online/japan-porn-hacker-lwkekernals2ks4reow0-kd3jfs4dfes-pofir3ewpso5dfr-ewpos3kdesd5ewosk-d0fre3psodie-sd0f5epso-dosd3freosf-pdoi5eows-deosd6dof8reosd-fr4edservices3449/002/frfx/index.php,expertisewebzoque
