phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,domain,date_acquired,status
8022649,http://allblockchaindapp.godaddysites.com,http://www.phishtank.com/phish_detail.php?phish_id=8022649,2023-02-01T09:36:14+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,allblockchaindapp.godaddysites,2023-02,phishing
8022645,http://dapp-web3fixtool-connect.com,http://www.phishtank.com/phish_detail.php?phish_id=8022645,2023-02-01T09:29:30+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,dapp-web3fixtool-connect,2023-02,phishing
8022640,http://alphacapital-defi.xyz,http://www.phishtank.com/phish_detail.php?phish_id=8022640,2023-02-01T09:25:33+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,alphacapital-defi,2023-02,phishing
8022639,http://dapp-chain.web.app,http://www.phishtank.com/phish_detail.php?phish_id=8022639,2023-02-01T09:22:53+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,dapp-chain.web,2023-02,phishing
8022638,https://o1xshop.6457776.xyz/ztudipxq?,http://www.phishtank.com/phish_detail.php?phish_id=8022638,2023-02-01T09:22:42+00:00,yes,2023-02-01T09:36:40+00:00,yes,Other,o1xshop.6457776,2023-02,phishing
8022633,http://claiming-seedify.com,http://www.phishtank.com/phish_detail.php?phish_id=8022633,2023-02-01T09:18:13+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,claiming-seedify,2023-02,phishing
8022629,https://tinyurl.com/PSD2-BNL,http://www.phishtank.com/phish_detail.php?phish_id=8022629,2023-02-01T09:09:17+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,tinyurl,2023-02,phishing
8022626,http://metamaskv.cc,http://www.phishtank.com/phish_detail.php?phish_id=8022626,2023-02-01T08:59:35+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,metamaskv,2023-02,phishing
8022619,http://73833106d50.mediseg.pt/ov/?serv=ville-champlan.fr,http://www.phishtank.com/phish_detail.php?phish_id=8022619,2023-02-01T08:51:17+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,73833106d50.mediseg,2023-02,phishing
8022617,https://linkler.ru/qieruiocuq/temp/ZUv3wAaKs2Zh,http://www.phishtank.com/phish_detail.php?phish_id=8022617,2023-02-01T08:49:31+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,linkler,2023-02,phishing
8022612,http://istruzione-datidirettiva.com/,http://www.phishtank.com/phish_detail.php?phish_id=8022612,2023-02-01T08:31:25+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,istruzione-datidirettiva,2023-02,phishing
8022608,https://bper.it.5-161-95-169.cprapid.com/INFO/APP/,http://www.phishtank.com/phish_detail.php?phish_id=8022608,2023-02-01T08:29:22+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,bper.it.5-161-95-169.cprapid,2023-02,phishing
8022598,https://mails56.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=8022598,2023-02-01T08:27:33+00:00,yes,2023-02-01T09:51:56+00:00,yes,Other,mails56.godaddysites,2023-02,phishing
8022586,https://btconnect-d404ca.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8022586,2023-02-01T08:25:33+00:00,yes,2023-02-01T08:42:13+00:00,yes,Other,btconnect-d404ca.webflow,2023-02,phishing
8022556,http://certificacredenzialiweb.com/,http://www.phishtank.com/phish_detail.php?phish_id=8022556,2023-02-01T08:20:22+00:00,yes,2023-02-01T08:42:13+00:00,yes,Other,certificacredenzialiweb,2023-02,phishing
8022555,https://rimuovicollegamento-manuale.com/,http://www.phishtank.com/phish_detail.php?phish_id=8022555,2023-02-01T08:20:07+00:00,yes,2023-02-01T08:42:13+00:00,yes,Other,rimuovicollegamento-manuale,2023-02,phishing
8022553,https://bit.do/verificasicurezzaonline,http://www.phishtank.com/phish_detail.php?phish_id=8022553,2023-02-01T08:19:17+00:00,yes,2023-02-01T08:42:13+00:00,yes,Other,bit,2023-02,phishing
8022552,https://app-gigamart.com/,http://www.phishtank.com/phish_detail.php?phish_id=8022552,2023-02-01T08:18:43+00:00,yes,2023-02-01T08:42:13+00:00,yes,Other,app-gigamart,2023-02,phishing
8022546,https://informativarestrizione.com/,http://www.phishtank.com/phish_detail.php?phish_id=8022546,2023-02-01T08:16:14+00:00,yes,2023-02-01T08:42:14+00:00,yes,Other,informativarestrizione,2023-02,phishing
8022540,https://certificaaccessoweb.com/,http://www.phishtank.com/phish_detail.php?phish_id=8022540,2023-02-01T08:11:20+00:00,yes,2023-02-01T08:32:52+00:00,yes,Other,certificaaccessoweb,2023-02,phishing
8022538,http://verificaportaleapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=8022538,2023-02-01T08:06:26+00:00,yes,2023-02-01T08:32:52+00:00,yes,Other,verificaportaleapp,2023-02,phishing
8022530,http://www.suprememagician.com.ar/sidr/,http://www.phishtank.com/phish_detail.php?phish_id=8022530,2023-02-01T07:53:46+00:00,yes,2023-02-01T08:32:52+00:00,yes,Other,suprememagician.com,2023-02,phishing
8022528,https://calivedic.com/,http://www.phishtank.com/phish_detail.php?phish_id=8022528,2023-02-01T07:49:21+00:00,yes,2023-02-01T08:32:52+00:00,yes,Other,calivedic,2023-02,phishing
8022524,http://trust-app.me,http://www.phishtank.com/phish_detail.php?phish_id=8022524,2023-02-01T07:38:02+00:00,yes,2023-02-01T08:32:52+00:00,yes,Other,trust-app,2023-02,phishing
8022523,http://www.giveaways-trustwallets.appnetwork.eu.org,http://www.phishtank.com/phish_detail.php?phish_id=8022523,2023-02-01T07:37:05+00:00,yes,2023-02-01T08:32:52+00:00,yes,Other,giveaways-trustwallets.appnetwork.eu,2023-02,phishing
8022520,http://pancakeswapwallets.granticket.com,http://www.phishtank.com/phish_detail.php?phish_id=8022520,2023-02-01T07:32:14+00:00,yes,2023-02-01T08:32:52+00:00,yes,Other,pancakeswapwallets.granticket,2023-02,phishing
8022518,http://trust-cn.net,http://www.phishtank.com/phish_detail.php?phish_id=8022518,2023-02-01T07:29:08+00:00,yes,2023-02-01T08:32:52+00:00,yes,Other,trust-cn,2023-02,phishing
8022517,https://dbslah.top/,http://www.phishtank.com/phish_detail.php?phish_id=8022517,2023-02-01T07:28:45+00:00,yes,2023-02-01T08:32:52+00:00,yes,Development Bank of Singapore,dbslah,2023-02,phishing
8022515,http://download-trust.art,http://www.phishtank.com/phish_detail.php?phish_id=8022515,2023-02-01T07:27:57+00:00,yes,2023-02-01T08:32:52+00:00,yes,Other,download-trust,2023-02,phishing
8022509,http://lylkxxbcob.duckdns.org,http://www.phishtank.com/phish_detail.php?phish_id=8022509,2023-02-01T07:04:25+00:00,yes,2023-02-01T07:12:21+00:00,yes,Apple,lylkxxbcob.duckdns,2023-02,phishing
8022508,http://mdcarbonxg.duckdns.org,http://www.phishtank.com/phish_detail.php?phish_id=8022508,2023-02-01T07:03:42+00:00,yes,2023-02-01T07:12:21+00:00,yes,Apple,mdcarbonxg.duckdns,2023-02,phishing
8022504,https://bts365phs.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=8022504,2023-02-01T05:59:47+00:00,yes,2023-02-01T08:32:52+00:00,yes,Microsoft,bts365phs.weebly,2023-02,phishing
8022502,https://my-business-105154-109092.square.site/,http://www.phishtank.com/phish_detail.php?phish_id=8022502,2023-02-01T05:47:37+00:00,yes,2023-02-01T08:32:52+00:00,yes,AT&amp;T,my-business-105154-109092.square,2023-02,phishing
